Product Code,Product Name,Variant,Expected,Counted
48961090,iPhone 6s 64GB Refurbished,Silver,-1,0
48961090,iPhone 6s 64GB Refurbished,Gold,1,0
48961090,iPhone 6s 64GB Refurbished,Rose Gold,0,0
49019101,data recovery,,-4,0
49101524,LG Aristo 2 plus lcd,,1,0
49157379,Generic Laptop Charger,,-23,0
49159117,iphone 6 home button flex cable,,3,0
49393918,INLAND AIR DUSTER,,2,0
49418763,Generic Cases,,-1E+11,0
49444942,Haier Car Charger IP4,,-1,0
49499007,Transcend 256GB SD Card,,-1,0
49652355,LG stylo 4 LCD,,-2,0
49671951,Dell Latitude Laptop E6430,,-1,0
49721672,Motorola Pulse Escape,,-5,0
50045387,Alcatel MYFLIP With $30 SMPL Plan,,0,0
50055216,Samsung S6 Edge Charging Port,,-1,0
50309256,iphone 6 charging port ,,-2,0
50336367,Charging Port Repair,,-1,0
50788664,Galaxy A12 64GB,,-8,0
50869586,PS 4 Controller,,-13,0
50994575,Samsung Gear S3 Fontier,,1,0
